Updated 07/11/25 at 03:32pm,Position Rank,Position,Team,Value,Age,Rookie,1QBPosition Rank,1QBValue,RdrftPosition Rank,RdrftValue
Kyle Monangai,RB66,RB,CHI,2035,23.1,Yes,RB67,2322,,0
Tory Horton,WR83,WR,SEA,2027,22.6,Yes,WR85,2326,,0
Juwan Johnson,TE40,TE,NOS,2022.19,28.8,No,TE41,2139.89,,0
Will Howard,QB35,QB,PIT,2019,23.8,Yes,QB35,1701,,0
Russell Wilson,QB36,QB,NYG,2017,36.6,No,QB36,1644,,0
2026 Late 3rd,,PI,,2012,,,,2229,,0
Noah Fant,TE41,TE,SEA,1996.21,27.6,No,TE43,2058.91,,0
Kendre Miller,RB67,RB,NOS,1994,23.1,No,RB68,2315,,0
Dont'e Thornton,WR84,WR,LVR,1990,22.6,Yes,WR87,2218,,0
Keaton Mitchell,RB68,RB,BAL,1968,23.5,No,RB66,2333,,0
Joshua Palmer,WR85,WR,BUF,1951,25.8,No,WR83,2368,,0
Jerome Ford,RB69,RB,CLE,1939,25.8,No,RB71,2217,,0
Dawson Knox,TE42,TE,BUF,1932.31,28.6,No,TE40,2213.91,,0
Will Shipley,RB70,RB,PHI,1929,22.9,No,RB70,2231,,0
Aaron Rodgers,QB37,QB,PIT,1923,41.6,No,QB39,1437,,0
Xavier Restrepo,WR86,WR,TEN,1920,23.2,Yes,WR86,2220,,0
Michael Wilson,WR87,WR,ARI,1897,25.4,No,WR84,2335,,0
Darren Waller,TE43,TE,MIA,1891.51,32.8,No,TE46,1936.61,,0
2027 Late 3rd,,PI,,1874,,,,2080,,0
Elijah Moore,WR88,WR,BUF,1871,25.3,No,WR91,2109,,0
Dillon Gabriel,QB38,QB,CLE,1867,24.5,Yes,QB37,1609,,0
Woody Marks,RB71,RB,HOU,1848,24.5,Yes,RB69,2301,,0
Savion Williams,WR89,WR,GBP,1841,23.6,Yes,WR92,2101,,0
Jordan Whittington,WR90,WR,LAR,1839,24.8,No,WR89,2140,,0
Nick Chubb,RB72,RB,HOU,1835,29.5,No,RB76,2003,,0
Andrei Iosivas,WR91,WR,CIN,1831,25.7,No,WR88,2164,,0
Kayshon Boutte,WR92,WR,NEP,1830.99,23.2,No,WR90,2137,,0
Calvin Austin III,WR93,WR,PIT,1829,26.3,No,WR94,2048,,0
Luke Schoonmaker,TE44,TE,DAL,1825.27,26.8,No,TE42,2078.27,,0
Austin Ekeler,RB73,RB,WAS,1812,30.2,No,RB75,2067,,0
Sean Tucker,RB74,RB,TBB,1805,23.7,No,RB73,2100,,0
Erick All,TE45,TE,CIN,1785.52,24.8,No,TE44,2034.12,,0
